日期,阿富汗,阿尔巴尼亚,阿尔及利亚,安哥拉,安提瓜和巴布达,亚美尼亚,奥地利,阿塞拜疆,巴哈马,巴林,孟加拉国,巴巴多斯,白俄罗斯,比利时,贝宁,玻利维亚,波斯尼亚和黑塞哥维那,博茨瓦纳,巴西,文莱,保加利亚,布隆迪,布基纳法索,佛得角,柬埔寨,喀麦隆,加拿大,中非共和国,乍得,智利,中国,哥伦比亚,刚果,哥斯达黎加,克罗地亚,塞浦路斯,捷克共和国,丹麦,吉布提,多米尼克,多米尼加共和国,厄瓜多尔,埃及,萨尔瓦多,赤道几内亚,爱沙尼亚,斯威士兰,埃塞俄比亚,斐济,芬兰,法国,加蓬,冈比亚,格鲁吉亚,德国,加纳,希腊,格林纳达,危地马拉,几内亚,几内亚比绍,圭亚那,海地,洪都拉斯,中国香港特别行政区,匈牙利,冰岛,印度,印度尼西亚,伊朗,伊拉克,爱尔兰,以色列,意大利,科特迪瓦,牙买加,日本,约旦,哈萨克斯坦,肯尼亚,基里巴斯,科索沃,科威特,吉尔吉斯斯坦,老挝,拉脱维亚,黎巴嫩,莱索托,利比里亚,利比亚,立陶宛,卢森堡,中国澳门特别行政区,马达加斯加,马拉维,马来西亚,马尔代夫,马里,马耳他,毛里塔尼亚,墨西哥,毛里求斯,摩尔多瓦,蒙古,黑山,摩洛哥,莫桑比克,缅甸,纳米比亚,尼泊尔,荷兰,尼加拉瓜,尼日尔,尼日利亚,马其顿,挪威,阿曼,巴基斯坦,巴拉圭,巴拿马,秘鲁,菲律宾,波兰,葡萄牙,卡塔尔,罗马尼亚,俄罗斯联邦,卢旺达,圣基茨和尼维斯,圣卢西亚,圣文森特和格林纳丁斯,萨摩亚,圣马力诺,圣多美和普林西比,沙特阿拉伯,塞内加尔,塞尔维亚,塞舌尔,塞拉利昂,新加坡,斯洛伐克,斯洛文尼亚,所罗门群岛,南非,韩国,南苏丹,西班牙,斯里兰卡,巴勒斯坦被占领土,苏丹,苏里南,瑞典,瑞士,坦桑尼亚,泰国,东帝汶,多哥,汤加,特立尼达和多巴哥,突尼斯,土耳其,乌干达,乌克兰,阿拉伯联合酋长国,英国,美国,乌拉圭,乌兹别克斯坦,越南,赞比亚,津巴布韦
01/1999,,76.32758119,71.43289871,0.33092202,80.09862385,66.52414255,80.38846403,48.35822226,78.23422488,84.38534699,51.60999647,65.16032368,3.35505377,78.80571306,73.5888912,59.33485279,,38.87417677,47.14747264,,50.88252914,32.24344753,73.64330735,81.04960152,60.52723358,76.12585798,78.56325129,70.26080293,70.33461797,69.98181466,81.68508097,51.1679161,75.48439064,32.65881348,71.20555212,73.49616029,74.50277728,77.83349344,,79.8944918,29.18188583,18.29659251,43.30340561,70.50085312,52.91861825,63.0977329,43.61411786,35.04280923,69.87419008,82.51189959,82.32064615,81.1651214,50.15736847,48.32910688,83.90699186,13.8808694,68.66649595,72.91306115,48.12480854,,76.22600251,51.03946676,28.86662412,41.64080829,102.029002,50.26166403,50.85812245,51.75078162,42.8125664,20.59103213,,72.80387613,79.6505555,77.92021762,72.78137755,30.85524034,103.505119,66.76109109,35.66679016,32.58967689,,,68.94893334,33.93050242,25.60939386,57.28951864,,,,,74.00298318,75.65813814,83.14855876,32.97074273,23.86384705,78.99638965,70.58641588,74.97784732,76.02110481,50.98415102,55.1314398,53.44253146,26.42622911,34.65799533,,81.86494536,,14.63727213,,53.87299828,78.88487539,41.94012573,75.12195632,27.66940796,75.47677599,78.6173197,,41.66931733,42.4323732,76.03370759,74.73178071,60.87604815,66.76979903,75.49295675,,17.49171837,22.12185963,44.8729084,70.73724463,72.4156249,74.50952221,56.21586452,,18.99995927,77.71859354,79.94280202,9.70984029,43.26445799,,83.84057396,55.34291701,59.2733042,39.86442358,56.56512535,70.96805316,,72.51281301,34.47456642,66.53310588,29.77337183,11.27774426,84.85730108,89.68066576,48.09447377,76.33770354,,73.17307988,43.86185342,48.77553927,71.20642208,10.57535314,50.00619076,25.46539956,,79.67449602,75.3477899,40.81875419,,49.25136398,17.47296397,
02/1999,,75.86202406,69.79181944,0.37106286,80.10550459,66.5406618,80.54250434,48.18428357,78.30974054,84.38534699,51.56478403,64.58368365,3.8125611,78.97796598,72.59444672,59.56267432,,39.24217672,47.64257553,,50.54683253,31.02392547,73.78398224,81.83150231,60.78571287,76.27797874,78.64911276,70.15044564,66.78971979,70.03217803,82.00841746,52.03127435,74.4645774,32.8966743,71.50557552,72.49287472,74.50277728,78.42963664,,79.93924644,29.10309474,18.78560245,43.37781009,70.33289667,52.91861825,63.26919413,43.97249188,35.07771242,70.16753261,82.71185386,82.5740379,80.79129326,50.17407312,50.75407087,84.00700183,13.66606162,68.33501658,72.43511683,47.88742869,,77.05066344,51.46598041,29.13976179,42.00408688,101.6619912,50.92885744,50.80898505,51.13470014,43.35815487,20.94087976,,73.18306299,79.08080904,78.06333202,72.93177948,30.51554487,103.0906841,66.37256874,35.59400079,33.57351619,,,67.32898777,34.49963763,28.8470546,57.36951052,,,,,74.03301053,77.05435981,82.99287635,33.27608269,24.57319443,79.1298295,70.42627415,74.9024927,76.32905258,50.63822241,55.87234681,53.58243337,26.82262255,35.89284077,,81.17387764,,14.45766323,,53.49361096,79.27793498,42.08160452,74.90691256,27.79228781,75.70320631,78.72590716,,41.82572209,42.58351255,76.10177716,74.96680237,60.87604815,67.15003374,75.51745811,,17.99435655,23.03548962,44.91457136,70.76428486,72.69558222,74.62924828,56.77971472,,19.13263079,77.56347494,79.78772384,9.88590858,43.38530843,,84.00909772,55.84232164,59.49914978,40.63583019,56.56512535,71.26907432,,72.55569756,34.34673389,65.57139212,30.07689627,12.32349166,84.85068891,89.98376267,49.77161439,76.43034638,,71.82226636,44.18026978,48.85133653,71.30174527,10.91092489,50.82161108,25.72005366,,79.78546329,75.43950967,40.89021083,,50.17608347,17.82012137,
03/1999,,75.64453752,70.35635071,0.39510773,79.99541284,66.15523849,80.54250434,48.18489549,78.46077186,84.54904311,51.63260269,64.18003562,4.27582324,79.04256083,71.86518744,59.30953929,,39.61017667,48.16657547,,50.05280567,31.29524893,73.7136448,80.6296091,60.61339335,75.83811068,78.99255867,70.04008836,66.30883858,70.47737261,81.59869296,52.52050474,75.73934395,32.77382311,71.70559111,73.64262533,74.50277728,78.8022248,,80.15556053,29.25484055,21.31956302,43.4894168,70.18309768,53.51320947,63.61211659,44.00832928,36.15971151,69.69818457,82.91181901,82.84854564,80.99116177,50.20080055,51.69002188,84.00700183,13.6348577,69.84861629,72.43511683,47.66587416,,76.83481259,51.4304376,29.15127352,42.14031636,101.0503066,51.53118241,51.05467207,51.01148271,43.27549261,21.4406621,,73.43585422,78.85291045,78.20643567,72.78746709,30.6633513,103.1942928,66.76109109,35.4969483,34.09618082,,,69.11767767,35.45377608,31.78180852,57.36951052,,,,,73.8651157,77.14443898,82.62489975,33.54036226,25.17964266,78.99638965,72.74120345,75.35462042,76.60900509,50.80341992,56.39143263,53.67570131,26.98355828,36.46910197,,81.2270367,,14.44936524,,54.12592315,79.96578926,41.97304576,75.05027507,28.00093614,75.62750311,79.26884445,,41.97054131,42.65908223,76.2379163,75.42662737,60.68501453,67.83446677,75.84023692,,19.13885232,23.67817961,44.9780127,70.41276186,73.11551819,73.67143975,57.17440985,,19.28625046,77.48590959,79.55510657,10.10762421,43.50615887,,83.75631207,55.97851987,59.69023441,40.72606647,56.56512535,71.38832501,,72.87563842,33.77364198,65.45664219,30.74358644,13.41200196,85.17137922,90.0778408,50.95547836,76.24506069,,71.79955783,44.53848819,49.07872832,71.49239165,11.35326794,50.90811291,25.97725412,,80.22933235,75.66880909,40.97868095,,49.81423671,18.08357409,
04/1999,,75.6547322,69.59488992,0.42588662,80.16743119,66.40690143,80.54250434,48.26883072,78.3852562,84.13980282,51.76824,64.00704362,4.59233775,79.34400345,74.05296529,59.21672311,,40.0450857,48.43628132,,49.74014055,32.23103084,75.05005629,80.20068067,60.9580324,76.31858471,79.42186606,70.81258934,67.23352597,70.74228338,81.1994545,52.93299095,74.10035838,32.81433787,72.00561451,73.8476764,74.6102849,79.02576913,,79.79006431,29.33071345,22.5008078,43.60102352,69.78817306,53.51320947,63.72642408,44.22335369,36.85777544,69.63951606,83.51970002,83.08082141,80.6802552,50.20414148,52.37071353,84.40703038,13.831679,70.57521301,72.59443161,47.77137632,,78.31383793,52.45762464,29.22933564,42.27654583,100.6832958,52.12424047,51.34950426,51.13470014,42.98616373,22.62348028,,73.81504108,79.08080904,78.4210804,72.87890098,30.59593082,103.7123364,67.5381358,37.14684063,34.31139567,,,68.57769581,37.39553153,34.99606282,57.28951864,,,,,73.88018318,77.51225771,82.4550644,33.73398633,24.97603369,79.06310957,77.84153958,75.12855656,76.2310692,50.86453322,56.90896545,53.90887117,27.52322945,37.86859347,,81.43967292,,14.55405955,,54.50531046,80.14048241,42.06423118,75.26531884,28.16834963,73.50993302,79.48601936,,42.08253485,42.81022158,76.30598586,75.87112487,60.62133665,68.36680065,76.32280722,,20.0676862,24.39562959,44.46006628,70.22348024,73.11551819,74.58933959,57.51271997,,19.43288741,77.40834424,79.40002838,10.51845022,43.6016654,,83.92483584,56.250923,59.91606939,40.73447192,56.68496701,71.5689377,,73.14514632,34.42142256,64.65885692,31.01482172,14.73376447,85.3598261,90.22810994,50.06758038,76.059775,,71.80987989,44.8171025,48.73764064,71.54005324,11.90585202,51.78945295,26.57473099,,80.56223414,76.2191277,41.33256145,,49.49259515,18.21929128,
05/1999,,75.16878571,70.26445027,0.46966777,80.16743119,66.74483997,80.69654464,48.188618,78.46077186,84.13980282,52.19775815,64.41069164,4.9980518,79.48395895,74.25185418,59.26735011,,40.17890387,48.58172984,,49.29610578,32.90432385,75.75343077,80.60280108,61.73347027,77.46852869,79.59358901,69.67223075,68.83028338,70.82587831,80.39147862,53.19200255,74.91985117,33.08095109,72.70566909,74.05272746,74.6102849,79.17480225,69.09896258,79.72293235,29.31612251,22.69768193,43.74983247,69.32969736,53.81050507,63.95503906,44.86842692,37.2417106,69.81552158,83.7276616,83.0913794,80.46928288,50.19745962,51.51984897,84.40703038,13.46384472,70.53849607,72.70064145,48.13535876,,69.45884429,52.63889295,29.28835461,42.59441459,100.6832958,52.46710821,51.54605388,51.62756987,42.86215936,22.84005263,,74.06783232,79.53660621,78.56418405,73.13146586,30.87339201,103.7123364,66.89059854,37.68062933,34.80331532,,,68.98268221,40.3583825,36.44657338,57.53951745,,,,,73.87286469,77.72994813,82.11539369,33.61818576,25.03952466,79.32998927,73.71704977,76.63564897,76.73498372,51.19719882,57.25130816,54.00213912,28.65168186,38.69182376,,81.86494536,,14.67984782,,55.30623923,80.16231905,42.19317414,75.83876888,28.42565508,74.17152242,79.37743191,,42.05164008,42.62129739,76.30598586,76.22876654,60.68501453,68.82308053,76.41335573,,21.13407709,24.93721958,44.17505371,69.79083654,74.4686452,74.46961352,57.79464507,,19.6633169,77.79615889,79.16741111,10.56409756,43.95087782,,84.09335961,56.38712789,60.28088465,41.07970839,56.62504618,71.44852924,,73.14282022,35.14820077,64.62607122,32.11544947,17.76604318,85.5218243,90.02568451,49.67295906,75.68920363,,72.8358926,45.09571681,48.96503243,71.34940686,12.25598094,51.45225666,27.21252451,,80.78416867,76.2191277,41.39721269,,49.29156917,18.44984875,
06/1999,,73.4560792,69.8180767,0.52241146,80.09862385,66.72471516,80.54250434,47.79811007,78.46077186,84.05795476,52.2655768,65.16032368,5.35484997,79.33323764,73.323706,59.48673381,,40.31272203,48.67387934,,48.8488478,32.97540316,76.66781758,80.73684121,62.1211892,77.40981052,79.76531196,68.71580098,71.25986268,70.92457966,79.3447083,53.33589789,76.50420388,33.54098961,72.70566909,74.155253,74.6102849,79.39835729,68.88914792,79.46932272,29.15562213,23.10413174,43.89864142,69.275225,53.51320947,63.95503906,44.94010173,38.67274166,69.52217905,83.67967214,83.08082141,81.39460006,50.23420984,50.75407087,84.50704034,13.53129717,70.54097272,72.85995623,48.4360399,,70.47253436,53.27866342,29.37515341,43.09392265,100.316285,52.72656544,51.98829829,51.75078162,42.72163133,23.02330615,,74.32062355,79.7645048,78.56418405,73.57002995,31.19837508,103.4015102,67.02010599,39.4761004,34.77257034,,,68.37520262,43.57232254,39.753765,57.95951244,,,,,73.83175198,77.69241605,81.6908053,33.74157097,24.72425915,79.26326934,70.46618079,78.14274138,76.70698847,51.58466658,57.62747646,54.74828266,30.71460295,38.73298528,,82.02442253,,14.75119505,,55.76993483,79.85660604,42.32437226,76.48390019,28.61616008,73.72649328,79.48601936,,41.98405777,42.64018981,76.442125,76.36671404,61.06708178,68.9751709,76.53053615,,22.21063964,25.41351958,44.59357715,70.38572163,75.91509131,74.34988746,57.45633495,,19.78900572,77.64102819,79.16741111,10.70756061,44.15042778,,84.00909772,56.65952436,60.28088465,41.19471672,56.92465034,71.0282574,,73.15847576,34.87386354,64.89928536,35.30219771,19.28218253,85.64745555,90.13127639,48.53842276,75.59656078,,73.25496822,44.97631068,49.11662695,71.49239165,12.65464686,51.26479401,27.23973708,,80.67320141,76.2191277,41.42443427,,49.13074839,18.79618002,
07/1999,,72.49777913,68.45269875,0.59173546,80.36009174,64.56889006,80.54250434,47.40658227,78.61180319,84.13980282,52.46903277,65.90995572,5.67424188,79.45166152,73.19111341,59.6048635,,40.37963112,49.20430085,,50.50151861,33.8026126,76.17545545,81.85384233,62.20734896,77.43452173,79.93703492,72.10009096,71.3889227,70.97393679,78.87020883,53.49896552,76.17640676,33.62463297,73.00569249,74.36762731,75.25533059,79.24932417,68.39958037,79.36489523,29.08266742,23.80906814,43.93584366,69.67468898,53.51320947,63.95503906,45.04761393,39.1962896,69.22883652,83.53569288,82.85910363,81.32427595,50.86564544,49.69049017,84.9070802,13.36176555,69.16818002,72.96616608,49.04795241,,71.7970156,53.56300585,29.51003945,43.45720124,98.84824178,53.0972257,52.1357105,52.24364567,42.26696695,22.84005263,,74.06783232,79.99240338,78.77883952,73.73719107,31.52335816,102.9870753,66.37256874,39.88857348,34.89555025,,,68.88143561,43.52210473,43.98757608,57.41951889,,55.45773014,,,73.44613199,76.72406224,81.42189933,34.02893833,24.15502977,79.32998927,70.39165665,79.80054302,76.63000153,51.7434582,58.00833102,54.93481855,31.48246802,38.2390471,,82.02442253,,15.12336392,,56.5708636,79.76925946,42.52091613,76.91398772,28.26648856,72.98922835,79.26884445,,42.26983437,43.73595012,76.51019457,76.56597154,61.13075965,68.74703535,76.51349173,,22.57741139,26.13017956,44.76401655,70.46684232,75.40183624,74.11043532,56.55417464,,19.86581555,77.64102819,80.64065383,10.94231834,44.15042778,,84.17762149,59.88294695,61.26240233,41.77854404,56.98457118,70.7862827,,73.475509,33.89716555,65.11785666,35.79845288,19.74868694,85.27386787,90.15410706,48.16846527,75.78184647,,73.31483616,44.69769637,49.19242422,71.63537643,13.13789798,51.19800612,26.96733977,,80.34029961,76.44842712,41.58436103,,48.92972242,19.24101812,
08/1999,,72.29728372,69.00410138,0.69114701,80.6766055,63.964625,80.60852503,47.4273366,78.68731885,84.38534699,52.55945764,66.42893175,6.07420112,79.35476925,73.6551875,59.91706338,,41.21599464,49.47978611,,50.87562444,33.71373036,75.89410566,82.1219226,61.86270991,76.77474552,80.10875787,72.02651944,73.6178312,71.11394539,79.49811463,53.76757014,76.90484479,33.82459289,72.80567689,73.67191834,75.3628382,79.65916257,68.04988926,79.59612753,29.1643767,23.93608371,44.08465262,69.66107089,53.51320947,63.84073157,45.08345133,39.2311928,68.64215147,83.59168965,82.99635749,81.97199798,50.88569101,49.69049017,84.80707023,13.42992606,69.10562933,73.07237593,49.49633657,,70.38525739,53.70517707,29.61901299,43.77507001,97.99188325,53.29182274,52.33226789,52.49008053,41.87844116,22.95666851,,74.57341479,80.33425126,78.8504021,74.57721422,32.01083277,103.2979015,67.21436717,39.76725787,35.08002012,,,69.32017087,42.93623024,46.15060607,57.32951458,,,,,73.30256039,77.97765766,81.09638156,33.97695064,22.66189733,79.26326934,70.68955495,78.9716422,77.07792555,51.85020998,58.33483034,55.16798841,31.7028453,37.49813984,,82.34337686,,15.26365429,,57.41394652,80.20599234,42.86603611,76.77062521,27.27437811,73.93808832,78.94308207,,42.46678851,44.0193364,76.64633371,76.69880987,61.32179328,69.12727006,76.39418075,,22.85249724,26.43328956,44.97233138,71.41325041,75.35517669,73.8310745,56.7233297,,19.99848708,77.48590959,81.49358382,11.5226916,43.80121536,,84.17762149,60.20074505,61.80962522,42.03878613,56.74488785,71.50989125,,73.78849438,33.84258536,64.78453542,35.50724343,21.03157409,85.27386787,90.60028932,47.67518861,76.15241785,,73.91558003,44.73749841,49.15452559,71.96900759,13.69048206,51.7591928,27.23701299,,80.56223414,76.63186666,41.7374824,,48.72869644,19.34157771,
09/1999,,72.37204472,70.15942119,0.89054293,80.76605505,64.17795806,80.60852503,47.93732222,78.68731885,84.30349893,52.69509495,67.12089979,6.8108167,79.52702218,72.79333562,60.27145243,,41.48363097,49.63326158,,51.64136996,34.53692082,75.26106864,82.25596274,62.03502944,76.71120942,80.3663423,71.62187607,70.33936639,71.27509783,81.34013145,53.94982382,76.35851627,34.04677058,72.90568469,75.20247808,75.25533059,80.03175074,68.18976571,79.53645468,29.28110424,24.35523509,44.19625933,69.84264542,53.51320947,63.95503906,46.01522378,38.81235444,68.58348296,83.87162999,83.13361136,81.84985611,50.90907752,50.15846568,84.60705031,13.41798478,70.44239977,73.2316907,49.76536707,,70.81440464,54.52266157,29.76969739,44.09293877,98.23655711,53.57908897,52.8236497,52.85972714,41.58911228,23.15658144,,74.69981041,80.56214984,78.99350575,74.64819215,32.01083277,103.6087277,67.40862834,40.03415222,35.20300004,,,70.13014365,43.50536546,45.9888263,57.49951076,,,,,73.78482753,78.17283101,81.19545219,34.24638423,24.74615259,79.26326934,69.17679281,78.51951448,77.42086738,51.95419002,58.89850381,55.26125635,32.24179367,36.42794046,,82.7686493,,15.19036827,,57.79333383,80.57721528,43.15951731,76.69894396,27.07562614,73.86415023,79.70319428,,42.62898604,44.00044398,76.64633371,77.05134237,61.64018265,70.11589262,76.37713632,,23.58096898,26.82449955,45.25450329,71.16988833,76.10172952,73.31226155,57.45633495,,20.30572641,77.40834424,81.57112291,12.51389087,44.00076531,,84.17762149,60.56395144,62.26998278,42.30017103,56.98457118,71.69050394,,73.93048887,33.80236839,64.90474964,34.63186476,21.77020608,85.87888155,90.77142098,47.42855029,76.15241785,,73.85364767,45.1753209,49.49561327,72.15965397,14.50999439,52.94205941,27.61833117,,80.78416867,76.99874573,41.74769049,,48.44726008,19.40033175,
10/1999,,72.65069935,69.68679036,1.07078882,81.18577982,64.49526945,80.93861652,48.07347477,79.51799112,84.05795476,53.3732815,67.3515558,7.77762465,79.63468026,72.26296523,60.70178199,,41.68435822,50.22404583,,52.23397977,35.19564155,76.105118,81.27300175,61.89717382,76.20611881,80.45220378,71.40116151,69.14846443,71.52792088,81.33988789,54.13209124,78.25245514,34.54732385,73.10570028,75.82495452,75.3628382,80.18079457,68.25970393,79.54391379,30.30830662,25.37135963,44.23346157,70.23757004,53.51320947,64.12650029,45.33431314,38.2190001,68.58348296,84.04759497,83.18640131,81.76102566,50.88235008,50.45626827,84.50704034,13.7775526,70.63753213,73.28479562,50.13462462,,68.86195496,54.63284426,30.03873087,44.50162719,98.48123098,53.89414772,53.2167567,53.84545523,41.61390876,23.43979143,,74.82620602,81.13189631,79.27971306,73.66232036,32.33581584,103.8159451,67.47338207,40.30104657,35.29523497,,,70.80512097,44.74407152,46.17263566,57.87950981,,,,,73.29825539,78.39802348,81.18129924,34.92768738,25.03514597,79.26326934,75.35387752,77.69061365,77.56084363,52.04088875,59.27153885,55.26125635,32.91887134,36.551425,,82.82180836,,15.34647912,,58.00410456,80.64272521,43.5528214,75.55204386,26.87522478,76.30166719,80.02895666,,43.0209634,44.22715301,76.64633371,76.95937737,61.89489415,70.87637084,76.58699581,,24.56246448,27.19199955,45.44766795,71.06172741,77.8747925,73.10872723,57.85103009,,20.4802942,77.56347494,81.33850564,13.84418464,45.09829007,,84.09335961,60.88174954,62.56530791,41.96185331,57.10441284,72.23234202,,73.90266693,34.27491786,66.01399902,34.71870998,22.31446123,85.97806412,90.77053531,47.62586095,76.24506069,,73.50269765,45.21512295,49.79880233,72.44562353,15.42796525,53.48836584,27.92213304,,80.78416867,77.13632539,41.88379838,,47.92459254,19.67884971,
