Date,Norway,Israel,India,France,United Kingdom,Italy,Poland,Austria,Japan,Argentina,Korea,Switzerland,Russia,China,Saudi Arabia,Sweden,Singapore,Germany,Belgium,Mexico,Thailand,Brazil,Türkiye,Indonesia,Netherlands,Canada,Ireland,United States,Spain
2001/1/1,83.503755,80.563814,61.207245,84.601172,81.177786,82.005144,78.537055,83.935342,102.408156,39.93797356,74.796811,92.282689,34.41665,82.50092,76.163884,86.520262,86.276835,86.451735,81.970861,66.173769,77.923029,54.36081988,23.86607392,45.882734,83.3177,82.684602,79.638166,80.300657,77.323194
2001/2/1,84.15528,80.482987,61.207245,84.833448,81.289601,82.284731,78.601219,84.055079,102.091756,39.84699883,75.161509,92.157809,35.216322,82.582685,76.008764,86.83434,86.113235,86.90555,82.326132,66.129903,78.26485,54.61093995,24.11781954,46.283511,84.0492,83.11391,80.368792,80.621677,77.577049
2001/3/1,84.372455,80.644641,61.399414,85.213535,81.625047,82.360005,78.986205,84.174815,101.986289,39.92292068,75.820283,92.305618,35.86221,82.092095,76.008764,87.475721,86.266539,86.90555,82.509151,66.548942,78.26485,54.81835659,25.18600595,46.696683,84.8354,83.371494,80.995042,80.805116,77.903931
2001/4/1,84.698217,81.372082,61.710044,85.625297,82.072307,82.714866,79.627847,84.653762,102.091756,40.18978494,76.112042,92.560889,36.508099,82.255625,76.008764,88.236121,86.503359,87.245911,83.219694,66.88461,78.838622,55.1362242,27.88158767,46.909467,85.3048,83.972524,81.725668,81.126135,78.308476
2001/5/1,85.132567,81.696528,61.862726,86.153196,82.743198,82.929933,80.526147,84.893235,102.197223,40.21579458,76.039102,93.063262,37.153988,81.8468,75.853644,88.834522,86.155565,87.586272,83.747219,67.03814,79.058364,55.36226339,29.08219244,47.438326,85.5887,84.659416,82.247543,81.493014,78.60464
2001/6/1,85.132567,81.939008,62.054895,86.205986,82.855013,83.145,80.461983,85.012971,101.986289,39.92572729,76.257921,93.239609,37.76912,80.865619,75.853644,88.705585,85.683069,87.699726,83.89794,67.19671,78.838622,55.65027071,30.59071157,48.229551,85.2612,84.745278,82.665043,81.630594,78.869507
2001/7/1,84.046693,82.262315,62.170724,86.026501,82.295937,83.220274,80.205326,85.012971,101.669889,39.7951397,76.403801,93.098492,37.922903,80.456794,75.698524,88.252651,86.196751,87.81318,83.833345,67.022065,78.838622,56.39035641,30.67604662,49.254217,85.1411,84.487693,82.456293,81.401295,79.063086
2001/8/1,83.938105,82.504796,62.40238,86.026501,82.631383,83.220274,79.948669,84.893235,101.986289,39.65281153,76.696717,92.582047,37.922903,80.538559,75.620964,88.470853,86.146413,87.586272,83.822579,67.419171,78.838622,56.78496176,30.85152756,49.150924,85.4577,84.487693,82.665043,81.401295,79.254347
2001/9/1,84.372455,82.666449,62.40238,86.18487,82.855013,83.220274,80.205326,85.132708,101.880823,39.62279004,76.623778,92.700038,38.168956,81.274444,75.620964,89.214722,86.027431,87.586272,84.059427,68.046777,79.058364,56.94389557,33.50744938,49.464934,86.5059,84.659416,83.082543,81.768174,79.243335
2001/10/1,84.372455,82.747276,62.71301,86.23766,82.631383,83.360067,80.526147,85.252445,101.880823,39.44798775,76.623778,92.559511,38.568792,81.519739,75.698524,88.973378,85.81006,87.472818,83.930238,68.354245,78.716543,57.41652297,36.62954687,49.799604,86.4185,84.230109,83.291293,81.493014,79.161035
2001/11/1,84.372455,82.262315,62.634036,86.005385,82.519568,83.499861,80.590311,85.132708,101.353489,39.31861383,76.186139,92.683407,39.091655,81.356209,75.620964,89.006439,85.629299,87.245911,84.02713,68.611717,78.496801,57.82429253,38.65267178,50.650738,86.3093,83.457355,83.291293,81.355435,79.102498
2001/12/1,84.58963,82.181488,62.441867,86.110964,82.743198,83.575135,80.782804,85.252445,101.248023,39.28871876,76.332019,92.649259,39.737544,81.437974,75.776084,89.085785,85.453114,88.153541,83.844111,68.706805,78.26485,58.20027532,39.50323317,51.470884,86.0473,83.629078,83.708794,81.034416,79.389389
2002/1/1,84.698217,83.070583,62.133869,86.512168,82.407753,83.929996,81.424447,85.611654,101.037089,40.18945624,76.769657,92.763905,40.967808,81.68327,75.931204,88.867583,85.328411,88.153541,84.350104,69.341086,78.496801,58.50305225,41.33604004,52.497616,86.6696,83.800801,83.604419,81.217855,79.281115
2002/2/1,84.806805,83.718336,62.054895,86.617748,82.519568,84.220336,81.488611,85.611654,100.509756,41.45159786,77.135514,92.760952,41.429157,82.582685,76.008764,89.082479,85.580104,88.493902,84.49006,69.296539,78.606672,58.71367968,41.74794562,53.284708,87.1391,84.31597,84.126294,81.538874,79.349529
2002/3/1,85.132567,84.12247,62.481353,86.997836,82.855013,84.435404,81.681104,85.731391,100.720689,43.09120791,77.57431,92.77591,41.890506,81.519739,75.931204,89.846184,85.50002,88.720809,84.716142,69.65087,78.716543,59.06590269,41.58209583,53.272313,87.9143,84.917001,84.856919,81.997473,80.005169
2002/4/1,85.241155,85.416837,62.634036,87.325133,83.190458,84.650471,82.066089,86.090601,101.037089,47.5677984,78.013106,93.57646,42.351856,81.274444,75.853644,90.236302,85.591545,88.607356,84.737673,70.031356,79.168235,59.53853009,42.57518437,53.146296,88.3292,85.432169,85.587545,82.456072,81.091821
2002/5/1,85.45833,86.226243,62.828838,87.430713,83.414089,84.865538,81.873596,86.44981,101.353489,49.47562123,78.304865,93.666307,43.090014,81.029149,75.853644,90.467728,85.85811,88.720809,84.866863,70.173307,79.290314,59.66342959,42.51816535,53.569797,88.3511,85.603892,86.10942,82.456072,81.383723
2002/6/1,85.45833,87.357818,63.560661,87.420155,83.414089,84.930058,81.552775,86.44981,101.248023,51.26763966,78.231925,93.543395,43.305311,80.293264,75.698524,90.335485,85.804339,88.720809,84.630015,70.515513,79.058364,59.91387074,43.62235469,53.763988,88.0563,85.775615,86.213795,82.501932,81.387144
2002/7/1,85.349742,87.924744,63.908145,87.420155,83.190458,85.080605,81.16779,86.330074,100.826156,52.9023866,78.013106,93.050371,43.612877,79.720909,75.931204,90.014795,85.830653,88.834263,84.909926,70.717949,79.058364,60.62698585,43.34525386,54.204016,87.9362,86.290784,85.796295,82.593652,80.822724
2002/8/1,85.02398,87.600298,64.487285,87.620757,83.414089,85.220399,80.846968,86.569547,101.142556,54.14134206,78.524842,93.019569,43.643633,79.966204,76.086324,90.067692,85.770018,88.720809,84.877629,70.986864,79.058364,61.02094903,43.25384164,54.358955,88.231,86.63423,86.31817,82.868811,81.054193
2002/9/1,85.566917,87.924744,64.603113,87.779127,83.637719,85.360193,81.103625,86.44981,101.142556,54.87266291,78.964796,93.160588,43.828173,80.783854,76.163884,90.752052,85.66362,88.720809,85.114476,71.413805,79.400185,61.46018427,45.90520565,54.648175,89.1918,86.63423,86.73567,83.006391,81.357498
2002/10/1,85.892679,88.490531,64.6426,87.916381,83.749534,85.57526,81.360282,86.80902,100.931622,54.99259717,78.743661,93.704588,44.289522,80.947384,76.163884,91.046293,85.638451,88.607356,85.017584,71.728493,79.742006,62.26544889,48.86381552,54.941527,88.9734,86.891815,87.15317,83.14397,82.16365
2002/11/1,86.218442,87.76309,64.758428,87.916381,83.749534,85.865601,81.296118,86.569547,100.931622,55.27258425,78.817759,93.53198,45.027681,80.865619,76.241444,90.824786,85.829509,88.266994,84.952989,72.308691,79.510056,64.14600505,50.94422141,55.95793,88.7114,87.149399,87.257545,83.14397,82.290217
2002/12/1,86.869967,87.519471,64.526772,88.064193,84.08498,85.930121,81.360282,86.928757,100.931622,55.37608338,79.1813,93.474608,45.704326,81.110914,76.319004,90.940499,85.826077,89.06117,84.996053,72.62338,79.510056,65.49292892,51.23569341,56.6314,88.4057,86.805953,87.883796,82.960531,82.563875
2003/1/1,88.933128,87.683402,64.758428,88.23312,83.525904,86.295735,81.681104,87.16823,100.615222,56.10664569,79.695351,93.549398,46.811564,82.01033,76.319004,91.23474,86.073193,89.06117,85.372856,72.916953,80.193699,66.96667874,53.12219731,57.085889,88.7114,87.578706,87.570671,83.32741,82.224083
2003/2/1,89.041716,88.028339,65.374423,88.845484,83.861349,86.435529,81.745268,87.048493,100.298822,56.42422284,80.13299,93.64141,47.58048,82.746215,76.241444,92.041425,85.915313,89.628439,85.964975,73.119525,80.083828,68.01821049,53.94058296,57.197446,89.2573,88.265598,88.405671,83.969448,82.39854
2003/3/1,88.390191,88.201376,66.224706,89.204455,84.196795,86.72587,82.001925,87.407703,100.615222,56.75359957,81.083522,94.018313,48.072586,82.17386,76.241444,92.514196,86.155565,89.628439,86.201823,73.581067,80.083828,68.85494079,55,57.065231,90.1089,88.523183,89.031921,84.473907,82.969802
2003/4/1,87.738666,88.028339,66.803847,89.07776,84.420425,86.940937,82.194418,87.287966,100.931622,56.78495273,80.937642,94.205091,48.564691,82.01033,76.163884,92.186893,86.330606,89.401532,85.986507,73.70667,80.425649,69.52278385,55.54372197,57.151997,90.1963,87.922152,89.240671,84.290467,83.644826
